season_id,matchup_home,season_type,min,team_name_home,fg3m_home,fg3a_home,fg3_pct_home,wl_home,team_name_away,fg3m_away,fg3a_away,fg3_pct_away,wl_away,highest_3pp,highest_3pp_wl
22015,CLE vs. WAS,Regular Season,240,Cleveland Cavaliers,9,30,0.3,L,Washington Wizards,7,28,0.25,W,0.3,L
22015,BKN vs. PHX,Regular Season,240,Brooklyn Nets,4,13,0.308,W,Phoenix Suns,10,28,0.357,L,0.357,L
22015,NOP vs. MEM,Regular Season,240,New Orleans Pelicans,9,27,0.333,L,Memphis Grizzlies,2,10,0.2,W,0.333,L
22015,PHI vs. LAL,Regular Season,240,Philadelphia 76ers,14,32,0.438,W,Los Angeles Lakers,8,34,0.235,L,0.438,W
22015,MIN vs. ORL,Regular Season,240,Minnesota Timberwolves,4,19,0.211,L,Orlando Magic,5,17,0.294,W,0.294,W
22015,POR vs. DAL,Regular Season,265,Portland Trail Blazers,15,40,0.375,L,Dallas Mavericks,9,29,0.31,W,0.375,L
22015,WAS vs. LAL,Regular Season,240,Washington Wizards,7,21,0.333,L,Los Angeles Lakers,8,25,0.32,W,0.333,L
22015,DET vs. PHX,Regular Season,265,Detroit Pistons,12,27,0.444,W,Phoenix Suns,14,33,0.424,L,0.444,W
22015,LAC vs. IND,Regular Season,240,LA Clippers,6,27,0.222,L,Indiana Pacers,7,20,0.35,W,0.35,W
22015,SAS vs. MIL,Regular Season,240,San Antonio Spurs,7,21,0.333,W,Milwaukee Bucks,3,14,0.214,L,0.333,W
22015,ATL vs. TOR,Regular Season,240,Atlanta Hawks,8,27,0.296,L,Toronto Raptors,6,25,0.24,W,0.296,L
22015,NYK vs. PHI,Regular Season,240,New York Knicks,4,19,0.211,W,Philadelphia 76ers,9,30,0.3,L,0.3,L
22015,CHI vs. DEN,Regular Season,240,Chicago Bulls,6,17,0.353,W,Denver Nuggets,5,15,0.333,L,0.353,W
22015,HOU vs. NOP,Regular Season,240,Houston Rockets,8,27,0.296,W,New Orleans Pelicans,7,25,0.28,L,0.296,W
22015,CHA vs. GSW,Regular Season,240,Charlotte Hornets,9,31,0.29,L,Golden State Warriors,16,34,0.471,W,0.471,W
22015,TOR vs. DEN,Regular Season,240,Toronto Raptors,8,27,0.296,L,Denver Nuggets,12,27,0.444,W,0.444,W
22015,SAC vs. BOS,Regular Season,240,Sacramento Kings,7,21,0.333,L,Boston Celtics,14,33,0.424,W,0.424,W
22015,MIA vs. OKC,Regular Season,240,Miami Heat,3,13,0.231,W,Oklahoma City Thunder,4,16,0.25,L,0.25,L
22015,UTA vs. ORL,Regular Season,240,Utah Jazz,14,33,0.424,L,Orlando Magic,8,23,0.348,W,0.424,L
22015,POR vs. IND,Regular Season,240,Portland Trail Blazers,18,36,0.5,W,Indiana Pacers,13,30,0.433,L,0.5,W
